E,DOS_s,DOS_p,DOS_d,DOS_f
15.2199999999999989,0.0000565294913897,0.0002778806400172,0.0000504632803345,0.0000008985224138
15.2300000000000040,0.0000450901024246,0.0002185844509146,0.0000398891998419,0.0000007144873368
15.2400000000000020,0.0000358021550594,0.0001711676451618,0.0000313841822501,0.0000005655994875
15.2500000000000000,0.0000282978506064,0.0001334331414444,0.0000245775845175,0.0000004457255476
15.2599999999999980,0.0000222642907679,0.0001035484525248,0.0000191574591452,0.0000003496756435
15.2700000000000031,0.0000174369478103,0.0000799944159909,0.0000148629346073,0.0000002730850634
15.2800000000000011,0.0000135935702436,0.0000615191344336,0.0000114772267127,0.0000002123052210
15.2899999999999991,0.0000105485691866,0.0000470970390766,0.0000088213087833,0.0000001643043646
15.2999999999999972,0.0000081479096400,0.0000358928727367,0.0000067482448679,0.0000001265781772
15.3100000000000023,0.0000062645132373,0.0000272303021246,0.0000051381713848,0.0000000970701214
15.3200000000000003,0.0000047941646752,0.0000205648117472,0.0000038938982483,0.0000000741011706
15.3299999999999983,0.0000036519028029,0.0000154604977354,0.0000029370902463,0.0000000563083964
15.3399999999999963,0.0000027688690133,0.0000115703654990,0.0000022049826635,0.0000000425917762
15.3500000000000014,0.0000020895798320,0.0000086197361843,0.0000016475813493,0.0000000320685128
15.3599999999999994,0.0000015695870738,0.0000063923797578,0.0000012252960636,0.0000000240341304
15.3699999999999974,0.0000011734872841,0.0000047190139074,0.0000009069564827,0.0000000179296017
15.3799999999999955,0.0000008732420319,0.0000034678350196,0.0000006681622316,0.0000000133137898
15.3900000000000006,0.0000006467716536,0.0000025367779183,0.0000004899213240,0.0000000098405149
15.3999999999999986,0.0000004767869357,0.0000018472329644,0.0000003575350686,0.0000000072396129
15.4099999999999966,0.0000003498257247,0.0000013389810257,0.0000002596915507,0.0000000053014009
15.4200000000000017,0.0000002554643156,0.0000009661376699,0.0000001877339841,0.0000000038640273
15.4299999999999997,0.0000001856765279,0.0000006939269182,0.0000001350743698,0.0000000028032412
15.4399999999999977,0.0000001343164644,0.0000004961315455,0.0000000967268598,0.0000000020241752
15.4500000000000028,0.0000000967039621,0.0000003530909401,0.0000000689389167,0.0000000014547881
15.4600000000000009,0.0000000692946028,0.0000002501388476,0.0000000489017296,0.0000000010406678
15.4699999999999989,0.0000000494187878,0.0000001763919414,0.0000000345243556,0.0000000007409381
15.4800000000000040,0.0000000350767846,0.0000001238162147,0.0000000242587132,0.0000000005250567
15.4900000000000020,0.0000000247787845,0.0000000865118559,0.0000000169648489,0.0000000003703238
15.5000000000000000,0.0000000174208899,0.0000000601687753,0.0000000118078696,0.0000000002599593
15.5100000000000051,0.0000000121895711,0.0000000416545301,0.0000000081795930,0.0000000001816245
15.5200000000000031,0.0000000084885195,0.0000000287042959,0.0000000056393586,0.0000000001262949
15.5300000000000011,0.0000000058829972,0.0000000196889787,0.0000000038695896,0.0000000000874051
15.5399999999999991,0.0000000040577594,0.0000000134427813,0.0000000026426314,0.0000000000602039
15.5500000000000043,0.0000000027854330,0.0000000091357191,0.0000000017961561,0.0000000000412712
15.5600000000000023,0.0000000019028993,0.0000000061799075,0.0000000012150291,0.0000000000281579
15.5700000000000003,0.0000000012937592,0.0000000041610680,0.0000000008180196,0.0000000000191198
15.5799999999999983,0.0000000008753942,0.0000000027887476,0.0000000005481186,0.0000000000129208
